User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
ChrisGriswold	1126	16	0	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	860	20	0	0	8	3	0	24	2	0	0	0	917
Chrislk02	4297	61	0	0	136	21	8	1632	91	12	0	6	6264
Christine (WMF)	1	0	1	0	0	0	0	0	0	0	0	0	2
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	0	43
Christopher Parham	747	10	0	0	4	2	0	24	1	0	0	0	788
Christopher Sundita	66	39	0	0	10	4	0	17	2	0	0	0	138
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	0	1
Chunky Rice	347	1	0	0	5	3	0	31	2	0	0	0	389
Chuq	229	21	4	0	13	2	1	95	10	0	0	0	375
CieloEstrellado	0	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	238	10	0	0	2	5	1	4	0	0	6	5	271
Circeus	1768	8	0	0	50	27	0	157	13	0	0	0	2023
Cirt	28893	334	23	0	1236	22	202	9722	70	52	0	24	40578
Citicat	757	19	0	0	24	1	0	36	4	0	0	0	841
Ck lostsword	310	4	0	0	13	1	5	308	16	0	0	0	657
Ckatz	1632	78	147	0	252	7	63	1336	18	43	0	5	3581
Clarkk	23	0	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	75	4	0	0	11	1	0	4	0	0	0	0	95
ClockworkSoul	759	46	1	0	39	7	4	223	19	4	0	0	1102
Closedmouth	27387	208	178	0	512	10	117	3376	67	149	0	54	32058
CloudNine	424	15	0	0	24	1	2	32	2	0	0	0	500
ClueBot	0	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	7311	93	5	0	452	24	9	471	22	5	0	0	8392
Cobi	53	1	0	0	21	0	3	8	4	0	0	4	94
Coelacan	1194	30	0	0	85	10	1	845	53	0	0	0	2218
Coffee	1591	182	4	0	194	10	172	470	19	96	0	15	2753
Coffeedrinker87	0	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6799	48	0	0	2	18	1	3	0	0	0	0	6871
Commander Keane	4892	232	2	0	44	22	2	157	29	2	0	13	5395
Connormah	113	18	174	0	148	4	96	1393	10	60	0	1	2017
Conscious	13449	65	0	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	741	25	0	0	46	3	1	359	36	1	0	0	1212
Conti	466	45	1	0	14	38	7	75	3	0	0	1	650
Cool Hand Luke	959	590	1	0	65	12	21	96	18	0	0	0	1762
Cool3	35	0	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	0	235	25	11	494	60	0	0	0	12109
Coren	919	26	55	1	66	8	8	331	53	14	0	2	1483
Courcelles	73922	1012	2354	32	5868	763	1032	3522	68	278	0	3622	92473
Cowman109	433	36	0	0	101	43	4	360	44	0	0	0	1021
Craigy144	3099	11	0	0	8	3	1	38	0	0	0	1	3161
Crazycomputers	755	14	55	0	88	15	11	954	96	19	0	5	2012
Crazytales	269	23	5	0	20	2	2	124	30	5	0	0	480
Cremepuff222	176	6	0	0	3	2	1	98	5	0	0	0	291
Crisco 1492	2035	88	37	0	64	0	6	13	0	3	0	0	2246
Croat Canuck	83	3	0	0	1	1	0	5	1	0	0	0	94
Crum375	187	18	1	0	98	7	24	291	13	2	0	0	641
Cryptic	9383	238	0	0	136	15	1	322	21	0	0	0	10116
